region,hometown,latitude,longitude,country,standardised_region,geography_type
Brong Ahafo Region,Bechem,6.9667,-2.3267,Ghana,Brong Ahafo Region,Player Origin
Ashanti Region,Ash-town,6.65,-1.75,Ghana,Ashanti Region,Player Origin
Ivory Coast,Abobo,5.5333,-4.0167,Ivory Coast,Ivory Coast,Player Origin
Ivory Coast,Yopougon,5.5333,-4.0167,Ivory Coast,Ivory Coast,Player Origin
Central Region,Takoradi,6.9667,-1.7554,Ghana,Central Region,Player Origin
Greater Accra Region,Labadi,5.5333,0.0167,Ghana,Greater Accra Region,Player Origin
Ivory Coast,Treichville,5.5333,-4.0167,Ivory Coast,Ivory Coast,Player Origin
Northern Region,Savelugu,5.5333,-0.8393,Ghana,Northern Region,Player Origin
Greater Accra Region,Dansoman,5.5333,0.0167,Ghana,Greater Accra Region,Player Origin
Upper East Region,Bolgatanga,5.5333,-0.8514,Ghana,Upper East Region,Player Origin
Ashanti Region,Brofoyedru,6.65,-1.75,Ghana,Ashanti Region,Player Origin
Greater Accra Region,Teshie,5.5333,0.0167,Ghana,Greater Accra Region,Player Origin
Greater Accra Region,Amasaman,5.5333,0.0167,Ghana,Greater Accra Region,Player Origin
Greater Accra Region,Achimota,5.5333,0.0167,Ghana,Greater Accra Region,Player Origin
,,,,Ivory Coast,,Player Origin
Brong Ahafo Region,Techiman,6.9667,-2.3267,Ghana,Brong Ahafo Region,Player Origin
Greater Accra Region,Nima,5.5333,0.0167,Ghana,Greater Accra Region,Player Origin
Northern Region,Tamale,5.5333,-0.8393,Ghana,Northern Region,Player Origin
Greater Accra Region,Lapaz,5.5333,0.0167,Ghana,Greater Accra Region,Player Origin
Ashanti Region,Ahenema kokoben,6.65,-1.75,Ghana,Ashanti Region,Player Origin
Ivory Coast,Rivera,5.5333,-4.0167,Ivory Coast,Ivory Coast,Player Origin
Greater Accra Region,Ofankor,5.5333,0.0167,Ghana,Greater Accra Region,Player Origin
Ivory Coast,Koumassi,5.5333,-4.0167,Ivory Coast,Ivory Coast,Player Origin
Greater Accra Region,Adenta,5.5333,0.0167,Ghana,Greater Accra Region,Player Origin
Ashanti Region,Atonsu,6.65,-1.75,Ghana,Ashanti Region,Player Origin
Eastern Region,Fodjoku,6.9667,0.0589,Ghana,Eastern Region,Player Origin
Ashanti Region,Aboabo,6.65,-1.75,Ghana,Ashanti Region,Player Origin
Ashanti Region,Oforikurom,6.65,-1.75,Ghana,Ashanti Region,Player Origin
Ashanti Region,Koforidua,6.65,-1.75,Ghana,Ashanti Region,Player Origin
Brong Ahafo Region,Bibiani,6.9667,-2.3267,Ghana,Brong Ahafo Region,Player Origin
Brong Ahafo Region,Bibiani-Bekwai,6.9667,-2.3267,Ghana,Brong Ahafo Region,Player Origin
Brong Ahafo Region,Sunyani,6.9667,-2.3267,Ghana,Brong Ahafo Region,Player Origin
Greater Accra Region,Tema Newtown,5.5333,0.0167,Ghana,Greater Accra Region,Player Origin
Ashanti Region,Afrancho,6.65,-1.75,Ghana,Ashanti Region,Player Origin
Brong Ahafo Region,Wenchi,6.9667,-2.3267,Ghana,Brong Ahafo Region,Player Origin
Ivory Coast,Yopougon,5.5333,-4.0167,Ghana,Ivory Coast,Player Origin
Ivory Coast,Port-Bouet,5.5333,-4.0167,Ivory Coast,Ivory Coast,Player Origin
Eastern Region,Akosombo,6.9667,0.0589,Ghana,Eastern Region,Player Origin
Ashanti Region,Abuakwa Tanoso,6.65,-1.75,Ghana,Ashanti Region,Player Origin
Ashanti Region,Asawasi,6.65,-1.75,Ghana,Ashanti Region,Player Origin
Ashanti Region,Oman,6.65,-1.75,Ghana,Ashanti Region,Player Origin
Ashanti Region,Tafo,6.65,-1.75,Ghana,Ashanti Region,Player Origin
Ashanti Region,Offinso,6.65,-1.75,Ghana,Ashanti Region,Player Origin
Greater Accra Region,Chorkor,5.5333,0.0167,Ghana,Greater Accra Region,Player Origin
Ashanti Region,Dedesua,6.65,-1.75,Ghana,Ashanti Region,Player Origin
Ashanti Region,Asaman,6.65,-1.75,Ghana,Ashanti Region,Player Origin
Greater Accra Region,Trasaco,5.5333,0.0167,Ghana,Greater Accra Region,Player Origin
Ivory Coast,Anayama,5.5333,-4.0167,Ivory Coast,Ivory Coast,Player Origin
Ashanti Region,Baworo,6.65,-1.75,Ghana,Ashanti Region,Player Origin
Ashanti Region,Boadi,6.65,-1.75,Ghana,Ashanti Region,Player Origin
Brong Ahafo Region,Kenyasi,6.9667,-2.3267,Ghana,Brong Ahafo Region,Player Origin
Ashanti Region,Asuofua Asamang,6.65,-1.75,Ghana,Ashanti Region,Player Origin
Greater Accra Region,Tema,5.5333,0.0167,Ghana,Greater Accra Region,Player Origin
,,,,Ghana,,Player Origin
Brong Ahafo Region,Dormaa,6.9667,-2.3267,Ghana,Brong Ahafo Region,Player Origin
Brong Ahafo Region,Drobo,6.9667,-2.3267,Ghana,Brong Ahafo Region,Player Origin
Ashanti Region,Dormaa,6.65,-1.75,Ghana,Ashanti Region,Player Origin
Eastern Region,Juapong,6.9667,0.0589,Ghana,Eastern Region,Player Origin
Greater Accra Region,Dormi Kwabenya,5.5333,0.0167,Ghana,Greater Accra Region,Player Origin
Greater Accra Region,Pokuasi,5.5333,0.0167,Ghana,Greater Accra Region,Player Origin
Upper East Region,Zebilla,5.5333,-0.8514,Ghana,Upper East Region,Player Origin
Ashanti Region,Sankore,6.65,-1.75,Ghana,Ashanti Region,Player Origin
Greater Accra Region,Adabraka,5.5333,0.0167,Ghana,Greater Accra Region,Player Origin
Ashanti Region,Ahenkro,6.65,-1.75,Ghana,Ashanti Region,Player Origin
Upper East Region,Garu,5.5333,-0.8514,Ghana,Upper East Region,Player Origin
Greater Accra Region,Lomnava,5.5333,0.0167,Ghana,Greater Accra Region,Player Origin
Greater Accra Region,Ablekuma,5.5333,0.0167,Ghana,Greater Accra Region,Player Origin
Nigeria,Yaba,5.5333,3.3667,Nigeria,Nigeria,Player Origin
Ashanti Region,Kuntanase,6.65,-1.75,Ghana,Ashanti Region,Player Origin
Greater Accra Region,Kwashieman,5.5333,0.0167,Ghana,Greater Accra Region,Player Origin
Ashanti Region,Ejisu,6.65,-1.75,Ghana,Ashanti Region,Player Origin
Ivory Coast,Adjame,5.5333,-4.0167,Ivory Coast,Ivory Coast,Player Origin
Ashanti Region,Maakro,6.65,-1.75,Ghana,Ashanti Region,Player Origin
Brong Ahafo Region,Nkransa,6.9667,-2.3267,Ghana,Brong Ahafo Region,Player Origin
Central Region,Swedru,6.9667,-1.7554,Ghana,Central Region,Player Origin
Ivory Coast,Bouake,5.5333,-4.0167,Ivory Coast,Ivory Coast,Player Origin
Ashanti Region,,6.65,-1.75,Ghana,Ashanti Region,Player Origin
Ivory Coast,Cocody,5.5333,-4.0167,Ivory Coast,Ivory Coast,Player Origin
Ashanti Region,Asafo,6.65,-1.75,Ghana,Ashanti Region,Player Origin
Central Region,Gomoa Nsueam,6.9667,-1.7554,Ghana,Central Region,Player Origin
Burkina Faso,Ouagadougou,6.9667,-1.5353,Burkina Faso,Burkina Faso,Player Origin
Central Region,Assin Fosu,6.9667,-1.7554,Ghana,Central Region,Player Origin
Ashanti Region,Sawaba,6.65,-1.75,Ghana,Ashanti Region,Player Origin
Brong Ahafo Region,Berekum,6.9667,-2.3267,Ghana,Brong Ahafo Region,Player Origin
Greater Accra Region,Kasoa,5.5333,0.0167,Ghana,Greater Accra Region,Player Origin
