full_name,clubs,towns_cities,region,source_file
CYNTHIA K. FIINDIB,SAMARTEX LADIES,,,Black_Queens (2).xlsx
AFI AMENYEKU,FK APOLONIA,,,Black_Queens (2).xlsx
ROSE BAAH,GIRESUN SANAYISPOR,ACCRA,GREATER ACCRA REGION,Black_Queens (2).xlsx
BÉNÉDICTE SIMON,FC SERVETTE,MANTES-LA-JOLIE,FRANCE,Black_Queens (2).xlsx
COMFORT YEBOAH,DUX LOGRONO,KUMASI,ASHANTI REGION,Black_Queens (2).xlsx
JOSEPHINE BONSU,FC CARL ZEISS JENA,BERLIN,GERMANY,Black_Queens (2).xlsx
ANASTHESIA ACHIAA,GYÖRI,,,Black_Queens (2).xlsx
PORTIA BOAKYE,TP MAZEMBE,ACCRA,GREATER ACCRA REGION,Black_Queens (2).xlsx
ALEXENDRA EMEFA TAY,STANFORD UNIVERSITY,"BELLEVUE, WASHINGTON",USA,Black_Queens (2).xlsx
SUSAN AMA DUAH,RACING POWER,BEGORO,EASTERN REGION,Black_Queens (2).xlsx
DIANA AMOAKO,AMPEM DARKOA LADIES,AMPEM DARKOA,BRONG AHAFO REGION,Black_Queens (2).xlsx
GRACE ASANTEWAA,FC JUAREZ,ATEBUBU,BRONG AHAFO REGION,Black_Queens (2).xlsx
JENNIFER CUDJOE,BROOKLYN FC,TAKORADI,CENTRAL REGION,Black_Queens (2).xlsx
NANCY AMOH,FC OVIEDO,KUMASI,ASHANTI REGION,Black_Queens (2).xlsx
WASIIMA MOHAMMED,FC ZURICH,TAMALE,NORTHERN REGION,Black_Queens (2).xlsx
EVELYN BADU,MONTREAL ROSES,SEIKWA,BRONG AHAFO REGION,Black_Queens (2).xlsx
CHANTELLE BOYE-HLORKAH,NOTHINGHAM FOREST,LIVERPOOL,UNITED KINGDOM,Black_Queens (2).xlsx
HELEN ALORMENU,TEXAS STATE UNIVERSITY,ACCRA,GREATER ACCRA REGION,Black_Queens (2).xlsx
PRINCESS MARFO,FC NORDSJAELLAND,NIMA,GREATER ACCRA REGION,Black_Queens (2).xlsx
PRINCELLA ADUBEA,YOKSEKOVA,TECHIMAN,BRONG AHAFO REGION,Black_Queens (2).xlsx
ALICE KUSI,AL AHLI,KUMASI,ASHANTI REGION,Black_Queens (2).xlsx
STELLA NYAMEKYE,GOTHAM FC,KUMASI,ASHANTI REGION,Black_Queens (2).xlsx
SHARON SAMPSON,PITEA IF,SODERTALJE,SWEDEN,Black_Queens (2).xlsx
DORIS BOADUWAA,HAPOEL KATAMON,ATEBUBU,BRONG AHAFO REGION,Black_Queens (2).xlsx
AJEGIPINA ZAKARIA,AMPEM DARKOA LADIES,TAMALE,NORTHERN REGION,Black_Queens (2).xlsx
ABIGAIL KIOFI KIM,NEOM,"VASHON, WASHINGTON",USA,Black_Queens (2).xlsx
