source_name,players_recruited,average_entry_age,average_football_rating,average_development_velocity,advanced_plus_pct,ia_plus_pct,professional_outcome_pct,education_outcome_pct,average_known_market_value,recruitment_success_index,data_completeness,source_type,evidence_strength
Ashanti Region,42,10.564102564102564,3.04,2.057903809098016,0.42857142857142855,0.38095238095238093,0.0,0.16666666666666666,2782142.8571428573,28.383333333333333,76.66666666666667,region,STRONG
Brong Ahafo Region,28,10.826086956521738,3.357142857142857,1.3318824359316734,0.39285714285714285,0.21428571428571427,0.0,0.03571428571428571,4975000.0,23.84642857142857,72.92857142857143,region,STRONG
Burkina Faso,1,11.0,,2.2899686520376177,0.0,0.0,0.0,0.0,800000.0,25.2,73.0,region,INSUFFICIENT
Central Region,12,11.444444444444445,2.6666666666666665,0.9797233498535333,0.16666666666666666,0.08333333333333333,0.0,0.0,241666.66666666666,12.575000000000001,65.58333333333333,region,MODERATE
Eastern Region,4,12.0,2.5,3.856324399120479,0.75,0.75,0.0,0.25,,32.1,65.0,region,WEAK
Greater Accra Region,50,11.119047619047619,2.590909090909091,1.7077798468267478,0.36,0.26,0.0,0.1,7542500.0,22.552,70.72,region,STRONG
Ivory Coast,51,10.594594594594595,3.3870967741935485,2.4130084768043703,0.37254901960784315,0.3137254901960784,0.0196078431372549,0.0196078431372549,5066666.666666667,27.735294117647058,72.2156862745098,region,STRONG
Nigeria,1,114.0,,0.27924311926605505,0.0,0.0,0.0,0.0,,4.4,67.0,region,INSUFFICIENT
Northern Region,6,10.8,3.3333333333333335,1.2032092587943162,0.16666666666666666,0.16666666666666666,0.0,0.0,3000000.0,22.5,72.16666666666667,region,WEAK
Upper East Region,7,11.0,4.0,1.8563695468850143,0.42857142857142855,0.42857142857142855,0.0,0.0,,22.142857142857142,65.85714285714286,region,WEAK
Ablekuma,1,10.0,,2.8231884057971013,1.0,1.0,0.0,0.0,,37.1,67.0,hometown,INSUFFICIENT
Aboabo,5,11.2,4.0,1.7308346825706131,0.2,0.2,0.0,0.0,275000.0,18.3,70.6,hometown,WEAK
Abobo,10,11.0,3.25,2.120684325816987,0.4,0.4,0.1,0.1,12000000.0,28.360000000000003,67.4,hometown,MODERATE
Abuakwa Tanoso,2,10.0,4.0,6.037190082644628,0.5,0.5,0.0,0.0,,45.0,90.0,hometown,INSUFFICIENT
Achimota,4,10.333333333333334,2.0,0.09094870517928286,0.0,0.0,0.0,0.25,,8.675,70.0,hometown,WEAK
Adabraka,1,10.0,,1.3962155963302754,1.0,0.0,0.0,0.0,,22.2,67.0,hometown,INSUFFICIENT
Adenta,4,11.0,2.5,0.0,0.0,0.0,0.0,0.0,,12.5,81.75,hometown,WEAK
Adjame ,4,11.5,,1.4368746219376956,0.25,0.25,0.0,0.0,1575000.0,18.0,70.0,hometown,WEAK
Afrancho,4,10.25,2.6666666666666665,0.34905389908256884,0.25,0.0,0.0,0.25,,15.55,80.25,hometown,WEAK
Ahenema kokoben,1,,3.0,0.0,0.0,0.0,0.0,0.0,,15.0,60.0,hometown,INSUFFICIENT
Ahenkro,1,11.0,,1.6754587155963303,1.0,1.0,0.0,0.0,,26.7,67.0,hometown,INSUFFICIENT
Akosombo,1,,2.0,12.074380165289256,1.0,1.0,0.0,1.0,,60.0,80.0,hometown,INSUFFICIENT
Amasaman,2,10.0,4.5,1.1169724770642202,0.5,0.5,0.0,0.0,5000000.0,44.25,83.5,hometown,INSUFFICIENT
Anayama,1,10.0,5.0,1.8189741035856573,1.0,0.0,0.0,0.0,,48.3,93.0,hometown,INSUFFICIENT
Asafo,1,10.0,,1.1169724770642202,0.0,0.0,0.0,0.0,12000000.0,27.0,73.0,hometown,INSUFFICIENT
Asaman,1,10.0,2.0,4.805921052631579,1.0,1.0,0.0,1.0,,52.0,93.0,hometown,INSUFFICIENT
Asawasi,1,10.0,4.0,6.859154929577465,1.0,1.0,0.0,0.0,,67.1,93.0,hometown,INSUFFICIENT
Ash-town,1,,,0.0,0.0,0.0,0.0,1.0,,0.0,40.0,hometown,INSUFFICIENT
Assin Fosu,1,15.0,,4.013736263736264,0.0,0.0,0.0,0.0,,21.3,67.0,hometown,INSUFFICIENT
Asuofua Asamang,1,10.0,4.0,0.0,0.0,0.0,0.0,0.0,,20.0,80.0,hometown,INSUFFICIENT
Atonsu,2,10.5,1.5,2.4029605263157894,0.5,0.5,0.0,0.0,,28.5,80.0,hometown,INSUFFICIENT
Baworo,1,10.0,3.0,3.689393939393939,1.0,1.0,0.0,1.0,,54.2,93.0,hometown,INSUFFICIENT
Bechem,1,11.0,4.0,0.0,0.0,0.0,0.0,0.0,6000000.0,28.3,80.0,hometown,INSUFFICIENT
Berekum,1,10.0,,1.7174764890282133,0.0,0.0,0.0,0.0,,15.5,67.0,hometown,INSUFFICIENT
Bibiani,1,,,0.0,0.0,0.0,0.0,0.0,,0.0,40.0,hometown,INSUFFICIENT
Bibiani-Bekwai,1,,,0.0,0.0,0.0,0.0,0.0,,0.0,40.0,hometown,INSUFFICIENT
Boadi,2,9.5,3.5,2.3641147499843154,1.0,1.0,0.0,0.0,,51.5,87.0,hometown,INSUFFICIENT
Bolgatanga,4,10.666666666666666,4.0,1.2014802631578947,0.25,0.25,0.0,0.0,,20.5,66.75,hometown,WEAK
Bouake,1,10.0,,1.1169724770642202,0.0,0.0,0.0,0.0,900000.0,22.7,73.0,hometown,INSUFFICIENT
Brofoyedru,1,12.0,2.0,0.0,0.0,0.0,0.0,0.0,,10.0,67.0,hometown,INSUFFICIENT
Chorkor,1,11.0,2.0,4.805921052631579,1.0,1.0,0.0,1.0,,52.0,93.0,hometown,INSUFFICIENT
Cocody,1,13.0,,0.5584862385321101,0.0,0.0,0.0,0.0,,8.9,67.0,hometown,INSUFFICIENT
Dansoman,3,10.5,,1.6771817816709051,0.3333333333333333,0.3333333333333333,0.0,0.0,612500.0,24.86666666666667,66.66666666666667,hometown,WEAK
Dansoman ,3,11.0,1.5,0.0,0.0,0.0,0.0,0.0,,5.0,60.0,hometown,WEAK
Dedesua,1,10.0,3.0,4.805921052631579,1.0,1.0,0.0,0.0,,57.0,93.0,hometown,INSUFFICIENT
Dormaa,3,10.333333333333334,3.5,4.600162964751328,1.0,1.0,0.0,0.0,,50.56666666666666,78.0,hometown,WEAK
Dormi Kwabenya,1,10.0,,2.8231884057971013,1.0,1.0,0.0,0.0,,37.1,60.0,hometown,INSUFFICIENT
Drobo,1,10.0,3.0,2.2339449541284404,1.0,1.0,0.0,0.0,,50.6,87.0,hometown,INSUFFICIENT
Ejisu,1,10.0,,1.0913844621513944,0.0,0.0,0.0,0.0,,14.0,67.0,hometown,INSUFFICIENT
Fodjoku,1,,3.0,0.0,0.0,0.0,0.0,0.0,,15.0,60.0,hometown,INSUFFICIENT
Garu,2,10.5,,3.256603529983596,0.5,0.5,0.0,0.0,,23.15,67.0,hometown,INSUFFICIENT
Gomoa Nsueam,1,9.0,,0.0,0.0,0.0,0.0,0.0,150000.0,1.9,73.0,hometown,INSUFFICIENT
Juapong,2,12.0,,1.6754587155963303,1.0,1.0,0.0,0.0,,26.7,60.0,hometown,INSUFFICIENT
Kasoa,1,12.0,,2.675824175824176,0.0,0.0,0.0,0.0,,14.2,67.0,hometown,INSUFFICIENT
Kenyasi ,1,10.0,3.0,0.0,0.0,0.0,0.0,0.0,,15.0,80.0,hometown,INSUFFICIENT
Koforidua,1,,4.0,0.0,0.0,0.0,0.0,0.0,,20.0,53.0,hometown,INSUFFICIENT
Koumassi,2,10.0,4.0,2.180597014925373,0.5,0.5,0.0,0.0,,40.45,77.0,hometown,INSUFFICIENT
Kuntanase,1,11.0,,1.1169724770642202,0.0,0.0,0.0,0.0,25000.0,18.2,73.0,hometown,INSUFFICIENT
Kwashieman,3,12.666666666666666,,1.4504276304735022,0.0,0.0,0.0,0.0,575000.0,15.933333333333332,71.0,hometown,WEAK
Labadi ,1,,,0.0,0.0,0.0,0.0,0.0,,0.0,47.0,hometown,INSUFFICIENT
Lapaz,2,12.0,2.0,1.4115942028985506,0.5,0.5,0.0,0.0,,23.55,57.0,hometown,INSUFFICIENT
Lomnava,1,11.0,,1.3962155963302754,1.0,0.0,0.0,0.0,,22.2,67.0,hometown,INSUFFICIENT
Maakro,1,10.0,,0.8377293577981652,0.0,0.0,0.0,0.0,900000.0,18.2,73.0,hometown,INSUFFICIENT
Nima,7,11.571428571428571,3.0,2.886387457717596,0.14285714285714285,0.14285714285714285,0.0,0.0,17000000.0,26.357142857142858,73.28571428571429,hometown,WEAK
Nkransa,1,10.0,,1.3962155963302754,1.0,0.0,0.0,0.0,225000.0,24.7,73.0,hometown,INSUFFICIENT
Ofankor,2,12.0,,0.8377293577981652,0.5,0.5,0.0,0.0,,13.35,53.5,hometown,INSUFFICIENT
Offinso,1,10.0,3.0,0.0,0.0,0.0,0.0,0.0,,15.0,87.0,hometown,INSUFFICIENT
Oforikurom,2,11.0,2.0,0.0,0.0,0.0,0.0,0.5,,10.0,83.5,hometown,INSUFFICIENT
Oman,1,10.0,4.0,6.859154929577465,1.0,1.0,0.0,0.0,,67.1,93.0,hometown,INSUFFICIENT
Ouagadougou,1,11.0,,2.2899686520376177,0.0,0.0,0.0,0.0,800000.0,25.2,73.0,hometown,INSUFFICIENT
Pokuasi,1,12.0,,2.8231884057971013,1.0,1.0,0.0,0.0,,37.1,60.0,hometown,INSUFFICIENT
Port Bouet,1,,2.0,47.9016393442623,1.0,1.0,0.0,0.0,,60.0,80.0,hometown,INSUFFICIENT
Port-Bouet,1,10.0,4.0,2.2339449541284404,1.0,1.0,0.0,0.0,,55.6,87.0,hometown,INSUFFICIENT
